name	smiles
3-methylcrotonyl-CoA	CC(C)=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
5-phospho-&alpha;-D-ribose 1-diphosphate	O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O
5-amino-1-(5-phospho-&beta;-D-ribosyl)imidazole	Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
maltotetraose	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)C(O)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
5-methyltetrahydropteroyl tri-L-glutamate	CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1
5-phospho-&beta;-D-ribosylamine	N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
L-glutamate	N[C@@H](CCC(=O)O)C(=O)O
pyridoxamine 5'-phosphate	Cc1ncc(COP(=O)(O)O)c(CN)c1O
13-methyltetradecanoate	CC(C)CCCCCCCCCCCC(=O)O
(<i>S</i>)-ureidoglycine	NC(=O)N[C@@H](N)C(=O)O
(<i>S</i>)-3-hydroxybutanoyl-CoA	C[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
dCDP	Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)n1
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	Nc1c(C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
carbamoyl phosphate	NC(=O)OP(=O)(O)O
methylglyoxal	CC(=O)C=O
histidinal	N[C@H](C=O)Cc1c[nH]cn1
&beta;-D-fructofuranose 1,6-bisphosphate	O=P(O)(O)OC[C@H]1O[C@](O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O
5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide	NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1NC=O
sirohydrochlorin	C[C@@]1(CC(=O)O)c2cc3[nH]c(cc4nc(cc5[nH]c(cc(n2)[C@H]1CCC(=O)O)[C@@](C)(CC(=O)O)[C@@H]5CCC(=O)O)C(CC(=O)O)=C4CCC(=O)O)c(CCC(=O)O)c3CC(=O)O
<i>O</i>-acetyl-L-serine	CC(=O)OC[C@H](N)C(=O)O
