name	smiles
4,4-dimethylzymosterol	CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide	NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1NC=O
fructose 1,6-bisphosphate	O=P(O)(O)OC[C@H]1O[C@](O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O
(S)-3-amino-2-methylpropanoate	C[C@@H](CN)C(=O)O
selenide	[Se-2]
5-aminolevulinate	NCC(=O)CCC(=O)O
2-dehydropantoate	CC(C)(CO)C(=O)C(=O)O
2-iminobutanoate	CCC(=N)C(=O)O
glutaryl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)O
3-dehydroshikimate	O=C(O)C1=CC(=O)[C@@H](O)[C@H](O)C1
phosphate	O=P(O)(O)O
3&beta;-hydroxy-4&beta;-methyl-5&alpha;-cholest-7-ene-4&alpha;-carbaldehyde	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@](C)(C=O)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
4&alpha;-formyl-5&alpha;-cholesta-8-en-3&beta;-ol	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@H](C=O)[C@@H]1CC3
all-<i>trans</i>-decaprenyl diphosphate	CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)(O)OP(=O)(O)O
ADP ribose 1''-phosphate	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2OC(OP(=O)(O)O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
2-phospho-D-glycerate	O=C(O)[C@@H](CO)OP(=O)(O)O
dUDP	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
L-selenocystathionine	N[C@@H](CC[Se]C[C@H](N)C(=O)O)C(=O)O
L-cystine	N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O
3-methylglutaconyl-CoA	C/C(=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)CC(=O)O
4&alpha;-formyl-4&beta;-methyl-5&alpha;-cholesta-8-en-3&beta;-ol	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@](C)(C=O)[C@@H]1CC3
dUMP	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1
isovaleryl-CoA	CC(C)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
lanosterol	CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@H]1CC3
D-erythrose 4-phosphate	O=C[C@H](O)[C@H](O)COP(=O)(O)O
(2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate	O=C(O)C1=N[C@H](C(=O)O)C[C@H](O)C1
L-2-amino-3-oxobutanoate	CC(=O)[C@H](N)C(=O)O
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
(<i>R</i>)-mevalonate 5-phosphate	C[C@@](O)(CCOP(=O)(O)O)CC(=O)O
cyanate	N#CO
2,3-dimethyl-6-phytyl-1,4-benzoquinol	C/C(=C/Cc1cc(O)c(C)c(C)c1O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
4-guanidinobutyramide	N=C(N)NCCCC(N)=O
2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline	NC(=O)NC1=NC(=O)NC1(O)C(=O)O
L-glutamate-5-semialdehyde	N[C@@H](CCC=O)C(=O)O
L-alanine	C[C@H](N)C(=O)O
shikimate 3-phosphate	O=C(O)C1=C[C@@H](OP(=O)(O)O)[C@@H](O)[C@H](O)C1
acetoacetate	CC(=O)CC(=O)O
5'-deoxyadenosine	C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
D-<i>myo</i>-inositol (1,4)-bisphosphate	O=P(O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O
<i>N</i><sup>1</sup>-(5-phospho-&beta;-D-ribosyl)glycinamide	NCC(=O)N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
phytenate	C/C(=C/C(=O)O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
H<sub>2</sub>O	O
quinolinate	O=C(O)c1cccnc1C(=O)O
dimethylallyl diphosphate	CC(C)=CCOP(=O)(O)OP(=O)(O)O
3-methoxy-4-hydroxy-5-<i>all-trans</i>-nonaprenylbenzoate	COc1cc(C(=O)O)cc(C/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)c1O
UDP-&alpha;-D-galactose	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
L-cysteine	N[C@@H](CS)C(=O)O
1D-<i>myo</i>-inositol 3-diphosphate 1,2,4,5,6-pentakisphosphate	O=P(O)(O)O[C@H]1[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O
Mg<SUP>2+</SUP>	[Mg+2]
&delta;-carotene	CC(C)=CCC/C(C)=C\C=C\C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@H]1C(C)=CCCC1(C)C
hydroxyl radical	O
(3E,5R)-5-carboxy-2-oxohept-3-enedioate	O=C(O)C[C@H](/C=C/C(=O)C(=O)O)C(=O)O
UTP	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
L-saccharopine	N[C@@H](CCCCN[C@@H](CCC(=O)O)C(=O)O)C(=O)O
<i>S</i>-adenosyl-L-homocysteine	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
4&alpha;-carboxy-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol	CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@](C)(C(=O)O)[C@@H]1CC3
dTMP	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
(1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate	O=P(O)(O)OC[C@@H](O)[C@@H](O)c1c[nH]c2ccccc12
&beta;-D-galactose	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
xanthosine	O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1
1,1-dihydroxypropan-2-one	CC(=O)C(O)O
L-2-aminoadipate	N[C@@H](CCCC(=O)O)C(=O)O
1-18:1-2-18:1-phosphatidylethanolamine	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC
L-arginine	N=C(N)NCCC[C@H](N)C(=O)O
biotin	O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
guanine	Nc1nc2[nH]cnc2c(=O)[nH]1
geranylgeranyl chlorophyll <i>a</i>	C=Cc1c(C)c2n3c1=CC1=NC(=Cc4c(C)c5c(n4[Mg]3)C(=C3N=C(C=2)[C@@H](C)[C@@H]3CCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)[C@@H](C(=O)OC)C5=O)C(CC)=C1C
oxalosuccinate	O=C(O)CC(C(=O)O)C(=O)C(=O)O
dopaquinone	N[C@@H](CC1=CC(=O)C(=O)C=C1)C(=O)O
shikimate	O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1
(3<i>S</i>)-2,3-epoxy-2,3-dihydrosqualene	CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C
4,4-dimethyl-14&alpha;-formyl-5&alpha;-cholesta-8-en-3&beta;-ol	CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C=O)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
D-<i>myo</i>-inositol (1,4,5)-trisphosphate	O=P(O)(O)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O
5-hydroxyisourate	O=C1N=C2NC(=O)NC2(O)C(=O)N1
dimethylglycine	CN(C)CC(=O)O
